CNT,CLIENT_ADDVERY_SEGMENT_JUN,CLIENT_ADDVERY_SEGMENT_JUL,CLIENT_ADDVERY_SEGMENT_AUG,CLIENT_ADDVERY_SEGMENT_SEP,CLIENT_ADDVERY_SEGMENT_OCT,CLIENT_ADDVERY_SEGMENT_NOV
3,3-Retention,3-Retention,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer
15,4-Winback,4-Winback,2-Onboarding,1-Active Customer,2-Onboarding,2-Onboarding
1161,1-Active Customer,3-Retention,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer
2,4-Winback,2-Onboarding,1-Active Customer,2-Onboarding,2-Onboarding,1-Active Customer
718,2-Onboarding,2-Onboarding,2-Onboarding,3-Retention,3-Retention,1-Active Customer
1,3-Retention,3-Retention,3-Retention,4-Winback,1-Active Customer,3-Retention
5,4-Winback,4-Winback,4-Winback,3-Retention,1-Active Customer,2-Onboarding
19146,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer
616,4-Winback,4-Winback,4-Winback,4-Winback,4-Winback,3-Retention
47,1-Active Customer,1-Active Customer,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer
71,1-Active Customer,3-Retention,1-Active Customer,3-Retention,1-Active Customer,1-Active Customer
293,1-Active Customer,1-Active Customer,2-Onboarding,2-Onboarding,2-Onboarding,3-Retention
6,3-Retention,4-Winback,1-Active Customer,1-Active Customer,2-Onboarding,2-Onboarding
18,4-Winback,4-Winback,1-Active Customer,1-Active Customer,3-Retention,3-Retention
10,1-Active Customer,2-Onboarding,2-Onboarding,3-Retention,3-Retention,1-Active Customer
31,2-Onboarding,2-Onboarding,1-Active Customer,3-Retention,3-Retention,3-Retention
45,3-Retention,3-Retention,3-Retention,4-Winback,3-Retention,3-Retention
2,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention,2-Onboarding
2,3-Retention,3-Retention,4-Winback,4-Winback,1-Active Customer,3-Retention
110,3-Retention,1-Active Customer,1-Active Customer,3-Retention,1-Active Customer,1-Active Customer
23,3-Retention,4-Winback,4-Winback,3-Retention,3-Retention,3-Retention
17,4-Winback,4-Winback,4-Winback,4-Winback,3-Retention,2-Onboarding
4,4-Winback,4-Winback,4-Winback,3-Retention,3-Retention,1-Active Customer
116,3-Retention,3-Retention,3-Retention,1-Active Customer,3-Retention,1-Active Customer
21,2-Onboarding,2-Onboarding,1-Active Customer,2-Onboarding,2-Onboarding,2-Onboarding
2,2-Onboarding,1-Active Customer,3-Retention,3-Retention,1-Active Customer,1-Active Customer
1927,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention,3-Retention
24,4-Winback,3-Retention,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding
82,1-Active Customer,3-Retention,3-Retention,1-Active Customer,3-Retention,3-Retention
