CNT,CLIENT_ADDVERY_SEGMENT_JUN,CLIENT_ADDVERY_SEGMENT_JUL,CLIENT_ADDVERY_SEGMENT_AUG,CLIENT_ADDVERY_SEGMENT_SEP,CLIENT_ADDVERY_SEGMENT_OCT,CLIENT_ADDVERY_SEGMENT_NOV
255,1-Active,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding
3,3-Retention,3-Retention,2-Onboarding,2-Onboarding,2-Onboarding,1-Active
18,1-Active,2-Onboarding,2-Onboarding,2-Onboarding,1-Active,1-Active
3533,4-Winback,4-Winback,1-Active,1-Active,1-Active,1-Active
306,4-Winback,4-Winback,4-Winback,1-Active,2-Onboarding,2-Onboarding
21100,1-Active,1-Active,1-Active,1-Active,1-Active,3-Retention
21,2-Onboarding,3-Retention,1-Active,3-Retention,3-Retention,3-Retention
1475,3-Retention,3-Retention,4-Winback,2-Onboarding,2-Onboarding,2-Onboarding
976,1-Active,1-Active,3-Retention,3-Retention,3-Retention,1-Active
6,1-Active,2-Onboarding,3-Retention,1-Active,1-Active,1-Active
2,1-Active,2-Onboarding,2-Onboarding,1-Active,2-Onboarding,3-Retention
1,1-Active,1-Active,2-Onboarding,3-Retention,3-Retention,1-Active
1,2-Onboarding,1-Active,2-Onboarding,3-Retention,1-Active,1-Active
1,4-Winback,1-Active,2-Onboarding,1-Active,2-Onboarding,2-Onboarding
347,1-Active,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,3-Retention
58,3-Retention,3-Retention,1-Active,3-Retention,1-Active,3-Retention
1,3-Retention,2-Onboarding,3-Retention,1-Active,1-Active,1-Active
457,2-Onboarding,3-Retention,1-Active,1-Active,1-Active,1-Active
13,2-Onboarding,1-Active,1-Active,2-Onboarding,3-Retention,3-Retention
5,2-Onboarding,2-Onboarding,1-Active,2-Onboarding,2-Onboarding,1-Active
101,2-Onboarding,1-Active,1-Active,1-Active,1-Active,3-Retention
100,1-Active,3-Retention,1-Active,3-Retention,1-Active,3-Retention
9,1-Active,1-Active,3-Retention,2-Onboarding,3-Retention,3-Retention
2,1-Active,2-Onboarding,1-Active,2-Onboarding,2-Onboarding,1-Active
1574,1-Active,3-Retention,1-Active,1-Active,1-Active,1-Active
34,2-Onboarding,1-Active,1-Active,1-Active,1-Active,2-Onboarding
40,2-Onboarding,1-Active,1-Active,2-Onboarding,2-Onboarding,2-Onboarding
7,4-Winback,4-Winback,3-Retention,2-Onboarding,2-Onboarding,2-Onboarding
10,4-Winback,2-Onboarding,1-Active,1-Active,1-Active,2-Onboarding
4,4-Winback,4-Winback,3-Retention,1-Active,2-Onboarding,2-Onboarding
56,3-Retention,1-Active,1-Active,3-Retention,3-Retention,1-Active
24,4-Winback,1-Active,3-Retention,3-Retention,3-Retention,3-Retention
764,1-Active,3-Retention,3-Retention,3-Retention,3-Retention,1-Active
1416,3-Retention,3-Retention,3-Retention,4-Winback,4-Winback,2-Onboarding
1,1-Active,1-Active,1-Active,3-Retention,2-Onboarding,1-Active
70,3-Retention,1-Active,3-Retention,1-Active,3-Retention,1-Active
3,4-Winback,3-Retention,3-Retention,3-Retention,3-Retention,1-Active
1682,1-Active,1-Active,3-Retention,1-Active,1-Active,1-Active
40,4-Winback,4-Winback,4-Winback,4-Winback,3-Retention,1-Active
108,4-Winback,4-Winback,2-Onboarding,2-Onboarding,1-Active,1-Active
668,2-Onboarding,2-Onboarding,3-Retention,3-Retention,3-Retention,1-Active
4151,4-Winback,4-Winback,4-Winback,4-Winback,1-Active,1-Active
636,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,3-Retention,1-Active
1,2-Onboarding,1-Active,2-Onboarding,1-Active,1-Active,3-Retention
4490,4-Winback,4-Winback,4-Winback,4-Winback,4-Winback,1-Active
969,4-Winback,3-Retention,3-Retention,3-Retention,3-Retention,3-Retention
7,3-Retention,3-Retention,3-Retention,3-Retention,1-Active,2-Onboarding
25,4-Winback,4-Winback,4-Winback,1-Active,3-Retention,3-Retention
4,2-Onboarding,1-Active,2-Onboarding,2-Onboarding,2-Onboarding,1-Active
643,3-Retention,1-Active,1-Active,1-Active,1-Active,3-Retention
35,3-Retention,1-Active,3-Retention,3-Retention,1-Active,3-Retention
102,4-Winback,2-Onboarding,2-Onboarding,1-Active,1-Active,1-Active
137081,2-Onboarding,2-Onboarding,2-Onboarding,3-Retention,3-Retention,3-Retention
2,3-Retention,3-Retention,4-Winback,3-Retention,2-Onboarding,2-Onboarding
10,3-Retention,3-Retention,4-Winback,1-Active,2-Onboarding,2-Onboarding
144,4-Winback,4-Winback,4-Winback,2-Onboarding,1-Active,1-Active
